ID	site	nation	POINT_X	POINT_Y	type	name	asset_no	caption	date_est	image
692	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5204083	53.7631623	Building	Testing data: ALEXIS 133:Building692	197971-01	"this is testing data, not a real asset that exists"	1954-06-28T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
693	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5631855	53.76411704	Building	Testing data: ALEXIS 133:Building693	707667-01	"this is testing data, not a real asset that exists"	1958-09-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
694	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5294274	53.77266904	Building	Testing data: ALEXIS 133:Building694	482484-01	"this is testing data, not a real asset that exists"	1961-12-28T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
695	MAKAOO 120	Onion Lake Cree Nation	-109.995444	53.67724382	Building	Testing data: MAKAOO 120:Building695	157897-01	"this is testing data, not a real asset that exists"	1972-10-23T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
696	MAKAOO 120	Onion Lake Cree Nation	-110.0198661	53.67917193	Building	Testing data: MAKAOO 120:Building696	489145-01	"this is testing data, not a real asset that exists"	1978-08-18T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
697	ALEXANDER 134	Alexander First Nation	-113.9829823	53.78131244	Building	Testing data: ALEXANDER 134:Building697	456230-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
698	MAKAOO 120	Onion Lake Cree Nation	-110.0481892	53.68749884	Building	Testing data: MAKAOO 120:Building698	344183-01	"this is testing data, not a real asset that exists"	1988-10-31T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
699	MAKAOO 120	Onion Lake Cree Nation	-110.0422538	53.69038395	Building	Testing data: MAKAOO 120:Building699	116000-01	"this is testing data, not a real asset that exists"	1990-06-27T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
700	ALEXANDER 134	Alexander First Nation	-113.9977618	53.7907622	Building	Testing data: ALEXANDER 134:Building700	861010-01	"this is testing data, not a real asset that exists"	2001-01-19T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
701	MAKAOO 120	Onion Lake Cree Nation	-110.0625351	53.69674972	Building	Testing data: MAKAOO 120:Building701	154977-01	"this is testing data, not a real asset that exists"	2013-03-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
702	ALEXANDER 134	Alexander First Nation	-114.0169092	53.79740815	Building	Testing data: ALEXANDER 134:Building702	741663-01	"this is testing data, not a real asset that exists"	2015-05-28T08:36:14Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
703	ALEXANDER 134	Alexander First Nation	-113.9725474	53.80079134	Building	Testing data: ALEXANDER 134:Building703	863763-01	"this is testing data, not a real asset that exists"	2015-07-10T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
704	ALEXANDER 134	Alexander First Nation	-114.0135587	53.80462101	Building	Testing data: ALEXANDER 134:Building704	710591-01	"this is testing data, not a real asset that exists"	1832-04-20T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
705	ALEXANDER 134	Alexander First Nation	-113.9339612	53.80723636	Building	Testing data: ALEXANDER 134:Building705	483910-01	"this is testing data, not a real asset that exists"	1890-09-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
706	ALEXANDER 134	Alexander First Nation	-114.0144332	53.81101133	Building	Testing data: ALEXANDER 134:Building706	543597-01	"this is testing data, not a real asset that exists"	1890-10-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
707	ALEXANDER 134	Alexander First Nation	-113.9370663	53.81829976	Building	Testing data: ALEXANDER 134:Building707	651220-01	"this is testing data, not a real asset that exists"	1906-06-29T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
708	ALEXANDER 134	Alexander First Nation	-113.9528541	53.82051487	Building	Testing data: ALEXANDER 134:Building708	564429-01	"this is testing data, not a real asset that exists"	1907-05-06T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
709	ALEXANDER 134	Alexander First Nation	-113.971667	53.82925673	Building	Testing data: ALEXANDER 134:Building709	327295-01	"this is testing data, not a real asset that exists"	1909-03-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
710	ALEXANDER 134	Alexander First Nation	-113.9418906	53.83561211	Building	Testing data: ALEXANDER 134:Building710	782900-01	"this is testing data, not a real asset that exists"	1916-07-08T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
711	ALEXANDER 134	Alexander First Nation	-113.9159943	53.84050215	Building	Testing data: ALEXANDER 134:Building711	512179-01	"this is testing data, not a real asset that exists"	1916-08-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
712	UNIPOUHEOS 121	Frog Lake First Nation	-110.3651792	53.834487	Building	Testing data: UNIPOUHEOS 121:Building712	273962-01	"this is testing data, not a real asset that exists"	1918-09-24T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
713	UNIPOUHEOS 121	Frog Lake First Nation	-110.3000449	53.84206241	Building	Testing data: UNIPOUHEOS 121:Building713	232760-01	"this is testing data, not a real asset that exists"	1923-10-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
714	UNIPOUHEOS 121	Frog Lake First Nation	-110.3754276	53.84821745	Building	Testing data: UNIPOUHEOS 121:Building714	426900-01	"this is testing data, not a real asset that exists"	1926-05-22T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
715	UNIPOUHEOS 121	Frog Lake First Nation	-110.403731	53.85084434	Building	Testing data: UNIPOUHEOS 121:Building715	180904-01	"this is testing data, not a real asset that exists"	1926-05-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
716	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.5756764	53.90614073	Building	Testing data: SADDLE LAKE 125:Building716	278362-01	"this is testing data, not a real asset that exists"	1932-03-17T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
717	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.6679909	53.91277172	Building	Testing data: SADDLE LAKE 125:Building717	435818-01	"this is testing data, not a real asset that exists"	1933-03-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
718	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.7345884	53.92190806	Building	Testing data: SADDLE LAKE 125:Building718	872174-01	"this is testing data, not a real asset that exists"	1934-05-30T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
719	UNIPOUHEOS 121	Frog Lake First Nation	-110.3702017	53.89313216	Building	Testing data: UNIPOUHEOS 121:Building719	293389-01	"this is testing data, not a real asset that exists"	1938-04-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
720	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.457377	53.90042076	Building	Testing data: PUSKIAKIWENIN 122:Building720	434860-01	"this is testing data, not a real asset that exists"	1947-04-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
721	UNIPOUHEOS 121	Frog Lake First Nation	-110.4232806	53.90108381	Building	Testing data: UNIPOUHEOS 121:Building721	670349-01	"this is testing data, not a real asset that exists"	1964-09-12T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
722	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.5255013	53.94582387	Building	Testing data: SADDLE LAKE 125:Building722	530742-01	"this is testing data, not a real asset that exists"	1968-10-18T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
723	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4471748	53.91150415	Building	Testing data: PUSKIAKIWENIN 122:Building723	398392-01	"this is testing data, not a real asset that exists"	1975-06-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
724	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4597561	53.91405299	Building	Testing data: PUSKIAKIWENIN 122:Building724	162044-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
725	UNIPOUHEOS 121	Frog Lake First Nation	-110.4281385	53.91670921	Building	Testing data: UNIPOUHEOS 121:Building725	567174-01	"this is testing data, not a real asset that exists"	1988-10-31T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
726	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4514402	53.92089327	Building	Testing data: PUSKIAKIWENIN 122:Building726	642626-01	"this is testing data, not a real asset that exists"	2003-11-10T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
727	UNIPOUHEOS 121	Frog Lake First Nation	-110.373059	53.9197027	Building	Testing data: UNIPOUHEOS 121:Building727	800142-01	"this is testing data, not a real asset that exists"	1974-10-11T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
728	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.8229628	53.9763843	Building	Testing data: SADDLE LAKE 125:Building728	754380-01	"this is testing data, not a real asset that exists"	1988-02-16T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
729	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4883977	53.94016497	Building	Testing data: PUSKIAKIWENIN 122:Building729	796618-01	"this is testing data, not a real asset that exists"	1994-10-31T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
730	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.5059832	53.94459073	Building	Testing data: PUSKIAKIWENIN 122:Building730	108860-01	"this is testing data, not a real asset that exists"	2015-03-26T11:06:51Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
731	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.6740505	53.98820522	Building	Testing data: SADDLE LAKE 125:Building731	576498-01	"this is testing data, not a real asset that exists"	1958-04-18T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
732	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3733199	53.99097055	Building	Testing data: BLUE QUILLS:Building732	377242-01	"this is testing data, not a real asset that exists"	1965-02-11T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
733	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3756526	53.99178447	Building	Testing data: BLUE QUILLS:Building733	207328-01	"this is testing data, not a real asset that exists"	1965-09-01T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
734	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3676387	53.99174615	Building	Testing data: BLUE QUILLS:Building734	128069-01	"this is testing data, not a real asset that exists"	1972-10-27T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
735	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.6145171	53.99957603	Building	Testing data: SADDLE LAKE 125:Building735	472116-01	"this is testing data, not a real asset that exists"	1978-08-15T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
736	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4793367	53.96401434	Building	Testing data: PUSKIAKIWENIN 122:Building736	408762-01	"this is testing data, not a real asset that exists"	1988-12-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
737	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3724337	53.99529909	Building	Testing data: BLUE QUILLS:Building737	552513-01	"this is testing data, not a real asset that exists"	1964-08-27T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
738	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3657318	53.99574145	Building	Testing data: BLUE QUILLS:Building738	252317-01	"this is testing data, not a real asset that exists"	1974-03-07T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
739	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.374927	53.99665645	Building	Testing data: BLUE QUILLS:Building739	822419-01	"this is testing data, not a real asset that exists"	1988-11-18T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
740	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3675063	53.99862009	Building	Testing data: BLUE QUILLS:Building740	844556-01	"this is testing data, not a real asset that exists"	1937-08-17T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
741	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3731296	54.00045418	Building	Testing data: BLUE QUILLS:Building741	511830-01	"this is testing data, not a real asset that exists"	1962-09-13T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
742	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3659634	54.00052428	Building	Testing data: BLUE QUILLS:Building742	874390-01	"this is testing data, not a real asset that exists"	1964-09-11T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
743	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4342083	53.97523433	Building	Testing data: PUSKIAKIWENIN 122:Building743	339587-01	"this is testing data, not a real asset that exists"	1972-10-23T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
744	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4898672	53.98183379	Building	Testing data: PUSKIAKIWENIN 122:Building744	828468-01	"this is testing data, not a real asset that exists"	1968-10-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
745	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.3768599	53.99311143	Building	Testing data: PUSKIAKIWENIN 122:Building745	129966-01	"this is testing data, not a real asset that exists"	1978-11-10T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
746	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.7376735	54.04167146	Building	Testing data: SADDLE LAKE 125:Building746	882272-01	"this is testing data, not a real asset that exists"	1980-12-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
747	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4092153	54.00645653	Building	Testing data: PUSKIAKIWENIN 122:Building747	723618-01	"this is testing data, not a real asset that exists"	1991-05-24T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
748	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.6673736	54.05030144	Building	Testing data: SADDLE LAKE 125:Building748	736659-01	"this is testing data, not a real asset that exists"	1790-07-16T00:0:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
749	KEHEWIN 123	Kehewin Cree Nation	-110.8235628	54.06269517	Building	Testing data: KEHEWIN 123:Building749	798855-01	"this is testing data, not a real asset that exists"	1936-11-14T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
750	KEHEWIN 123	Kehewin Cree Nation	-110.8870358	54.08206019	Building	Testing data: KEHEWIN 123:Building750	835386-01	"this is testing data, not a real asset that exists"	1940-08-12T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
751	KEHEWIN 123	Kehewin Cree Nation	-110.8521578	54.08714496	Building	Testing data: KEHEWIN 123:Building751	389348-01	"this is testing data, not a real asset that exists"	1961-10-04T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
752	KEHEWIN 123	Kehewin Cree Nation	-110.846691	54.10629798	Building	Testing data: KEHEWIN 123:Building752	799967-01	"this is testing data, not a real asset that exists"	1933-06-16T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
753	KEHEWIN 123	Kehewin Cree Nation	-110.785801	54.10632333	Building	Testing data: KEHEWIN 123:Building753	401701-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
754	KEHEWIN 123	Kehewin Cree Nation	-110.7796283	54.10765594	Building	Testing data: KEHEWIN 123:Building754	591203-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
755	KEHEWIN 123	Kehewin Cree Nation	-110.8878933	54.12240738	Building	Testing data: KEHEWIN 123:Building755	439525-01	"this is testing data, not a real asset that exists"	2000-10-11T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
756	KEHEWIN 123	Kehewin Cree Nation	-110.9068422	54.12813138	Building	Testing data: KEHEWIN 123:Building756	131775-01	"this is testing data, not a real asset that exists"	2006-02-27T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
757	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.8394062	54.19783512	Building	Testing data: ALEXIS WHITECOURT 232:Building757	662164-01	"this is testing data, not a real asset that exists"	2010-12-14T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
758	KEHEWIN 123	Kehewin Cree Nation	-110.9005091	54.1345072	Building	Testing data: KEHEWIN 123:Building758	196055-01	"this is testing data, not a real asset that exists"	1908-09-15T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
759	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.7876444	54.20454308	Building	Testing data: ALEXIS WHITECOURT 232:Building759	625092-01	"this is testing data, not a real asset that exists"	1916-07-17T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
760	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.7849761	54.20742329	Building	Testing data: ALEXIS WHITECOURT 232:Building760	440809-01	"this is testing data, not a real asset that exists"	1930-06-18T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
761	KEHEWIN 123	Kehewin Cree Nation	-110.8873198	54.14331657	Building	Testing data: KEHEWIN 123:Building761	523715-01	"this is testing data, not a real asset that exists"	1940-06-11T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
762	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.7913556	54.21454849	Building	Testing data: ALEXIS WHITECOURT 232:Building762	752478-01	"this is testing data, not a real asset that exists"	1946-12-09T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
763	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.8139325	54.22083694	Building	Testing data: ALEXIS WHITECOURT 232:Building763	767685-01	"this is testing data, not a real asset that exists"	1955-07-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
764	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.801476	54.22762966	Building	Testing data: ALEXIS WHITECOURT 232:Building764	621087-01	"this is testing data, not a real asset that exists"	1965-05-15T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
765	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.8278144	54.22922526	Building	Testing data: ALEXIS WHITECOURT 232:Building765	666260-01	"this is testing data, not a real asset that exists"	1966-07-23T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
766	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.8420678	54.23877568	Building	Testing data: ALEXIS WHITECOURT 232:Building766	572831-01	"this is testing data, not a real asset that exists"	1969-12-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
767	ALEXIS WHITECOURT 232	Alexis Nakota Sioux Nation	-115.8683477	54.2513805	Building	Testing data: ALEXIS WHITECOURT 232:Building767	859104-01	"this is testing data, not a real asset that exists"	1976-06-30T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
768	ALEXANDER 134A	Alexander First Nation	-116.4625417	54.25896154	Building	Testing data: ALEXANDER 134A:Building768	288294-01	"this is testing data, not a real asset that exists"	1978-06-05T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
769	ALEXANDER 134A	Alexander First Nation	-116.4489497	54.2652642	Building	Testing data: ALEXANDER 134A:Building769	564742-01	"this is testing data, not a real asset that exists"	1978-11-10T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
770	ALEXANDER 134A	Alexander First Nation	-116.4743745	54.26967133	Building	Testing data: ALEXANDER 134A:Building770	467865-01	"this is testing data, not a real asset that exists"	1980-12-28T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
771	ALEXANDER 134A	Alexander First Nation	-116.4323722	54.27570258	Building	Testing data: ALEXANDER 134A:Building771	736699-01	"this is testing data, not a real asset that exists"	1988-10-07T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
772	ALEXANDER 134A	Alexander First Nation	-116.4289192	54.28472774	Building	Testing data: ALEXANDER 134A:Building772	611294-01	"this is testing data, not a real asset that exists"	1992-08-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
773	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7537869	54.25385888	Building	Testing data: WHITE FISH LAKE 128:Building773	169078-01	"this is testing data, not a real asset that exists"	1994-11-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
774	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7805779	54.25646849	Building	Testing data: WHITE FISH LAKE 128:Building774	269684-01	"this is testing data, not a real asset that exists"	2000-10-24T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
775	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7730803	54.25793768	Building	Testing data: WHITE FISH LAKE 128:Building775	551079-01	"this is testing data, not a real asset that exists"	2011-11-17T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
776	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7392303	54.26907747	Building	Testing data: WHITE FISH LAKE 128:Building776	699342-01	"this is testing data, not a real asset that exists"	2014-12-12T08:43:06Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
777	ALEXANDER 134A	Alexander First Nation	-116.4384031	54.30607879	Building	Testing data: ALEXANDER 134A:Building777	436066-01	"this is testing data, not a real asset that exists"	2015-05-28T08:32:12Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
778	ALEXANDER 134A	Alexander First Nation	-116.4414512	54.31211574	Building	Testing data: ALEXANDER 134A:Building778	709128-01	"this is testing data, not a real asset that exists"	1966-11-05T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
779	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7824108	54.28180923	Building	Testing data: WHITE FISH LAKE 128:Building779	821408-01	"this is testing data, not a real asset that exists"	1911-02-09T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
780	ALEXANDER 134A	Alexander First Nation	-116.4479457	54.31715543	Building	Testing data: ALEXANDER 134A:Building780	794465-01	"this is testing data, not a real asset that exists"	1925-03-04T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
781	ALEXANDER 134A	Alexander First Nation	-116.4488093	54.32322153	Building	Testing data: ALEXANDER 134A:Building781	704899-01	"this is testing data, not a real asset that exists"	1932-05-21T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
782	ALEXANDER 134B	Alexander First Nation	-114.8097642	54.34131375	Building	Testing data: ALEXANDER 134B:Building782	692694-01	"this is testing data, not a real asset that exists"	1939-05-26T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
783	ALEXANDER 134B	Alexander First Nation	-114.8100315	54.34142112	Building	Testing data: ALEXANDER 134B:Building783	184899-01	"this is testing data, not a real asset that exists"	1950-09-21T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
784	ALEXANDER 134B	Alexander First Nation	-114.8098484	54.3415073	Building	Testing data: ALEXANDER 134B:Building784	882610-01	"this is testing data, not a real asset that exists"	1958-08-14T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
785	ALEXANDER 134B	Alexander First Nation	-114.8137631	54.34166769	Building	Testing data: ALEXANDER 134B:Building785	332504-01	"this is testing data, not a real asset that exists"	1962-04-27T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
786	ALEXANDER 134B	Alexander First Nation	-114.8129894	54.34181999	Building	Testing data: ALEXANDER 134B:Building786	741047-01	"this is testing data, not a real asset that exists"	1965-10-22T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
787	ALEXANDER 134B	Alexander First Nation	-114.8104631	54.34198598	Building	Testing data: ALEXANDER 134B:Building787	603782-01	"this is testing data, not a real asset that exists"	1972-10-21T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
788	ALEXANDER 134B	Alexander First Nation	-114.8131218	54.34206573	Building	Testing data: ALEXANDER 134B:Building788	765334-01	"this is testing data, not a real asset that exists"	2002-09-24T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
789	ALEXANDER 134B	Alexander First Nation	-114.8136871	54.34212339	Building	Testing data: ALEXANDER 134B:Building789	513075-01	"this is testing data, not a real asset that exists"	2009-10-28T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
790	ALEXANDER 134B	Alexander First Nation	-114.812653	54.34224404	Building	Testing data: ALEXANDER 134B:Building790	266589-01	"this is testing data, not a real asset that exists"	1890-08-19T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
791	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7864715	54.30209416	Building	Testing data: WHITE FISH LAKE 128:Building791	133650-01	"this is testing data, not a real asset that exists"	1917-03-02T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
792	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.8024136	54.30662476	Building	Testing data: WHITE FISH LAKE 128:Building792	265043-01	"this is testing data, not a real asset that exists"	1933-08-10T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
793	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7871327	54.31316262	Building	Testing data: WHITE FISH LAKE 128:Building793	208928-01	"this is testing data, not a real asset that exists"	1956-07-25T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
794	WHITE FISH LAKE 128	Saddle Lake Cree Nation	-111.7973412	54.32461211	Building	Testing data: WHITE FISH LAKE 128:Building794	532033-01	"this is testing data, not a real asset that exists"	1906-09-24T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
795	COLD LAKE 149	Cold Lake First Nations	-110.3595682	54.2833096	Building	Testing data: COLD LAKE 149:Building795	262708-01	"this is testing data, not a real asset that exists"	1906-12-08T00:00:00Z	https://images.pexels.com/photos/323705/pexels-photo-323705.jpeg
